,X,y,Predict
104,"[63.59879684448242, 63.59879684448242, 59.0]",[59.14931869506836],58.664597
105,"[63.59879684448242, 59.0, 59.14931869506836]",[59.14931869506836],58.648056
106,"[59.0, 59.14931869506836, 59.14931869506836]",[59.14931869506836],57.70595
107,"[59.14931869506836, 59.14931869506836, 59.14931869506836]",[59.14931869506836],57.722603
108,"[59.14931869506836, 59.14931869506836, 59.14931869506836]",[59.14931869506836],57.722603
109,"[59.14931869506836, 59.14931869506836, 59.14931869506836]",[57.0],57.722603
110,"[59.14931869506836, 59.14931869506836, 57.0]",[58.48329162597656],57.766266
111,"[59.14931869506836, 57.0, 58.48329162597656]",[58.48329162597656],57.92211
112,"[57.0, 58.48329162597656, 58.48329162597656]",[58.48329162597656],57.74528
113,"[58.48329162597656, 58.48329162597656, 58.48329162597656]",[58.48329162597656],57.881207
114,"[58.48329162597656, 58.48329162597656, 58.48329162597656]",[58.48329162597656],57.881207
115,"[58.48329162597656, 58.48329162597656, 58.48329162597656]",[61.0],57.881207
116,"[58.48329162597656, 58.48329162597656, 61.0]",[61.187339782714844],57.49001
117,"[58.48329162597656, 61.0, 61.187339782714844]",[61.187339782714844],58.047283
118,"[61.0, 61.187339782714844, 61.187339782714844]",[61.187339782714844],58.509857
119,"[61.187339782714844, 61.187339782714844, 61.187339782714844]",[61.187339782714844],58.574432
120,"[61.187339782714844, 61.187339782714844, 61.187339782714844]",[61.187339782714844],58.574432
121,"[61.187339782714844, 61.187339782714844, 61.187339782714844]",[63.0],58.574432
122,"[61.187339782714844, 61.187339782714844, 63.0]",[62.660335540771484],59.225212
123,"[61.187339782714844, 63.0, 62.660335540771484]",[62.660335540771484],59.432
124,"[63.0, 62.660335540771484, 62.660335540771484]",[62.660335540771484],59.82
125,"[62.660335540771484, 62.660335540771484, 62.660335540771484]",[62.660335540771484],59.78974
126,"[62.660335540771484, 62.660335540771484, 62.660335540771484]",[62.660335540771484],59.78974
127,"[62.660335540771484, 62.660335540771484, 62.660335540771484]",[62.0],59.78974
128,"[62.660335540771484, 62.660335540771484, 62.0]",[62.660335540771484],59.511665
129,"[62.660335540771484, 62.0, 62.660335540771484]",[62.660335540771484],59.671078
130,"[62.0, 62.660335540771484, 62.660335540771484]",[62.660335540771484],59.63242
131,"[62.660335540771484, 62.660335540771484, 62.660335540771484]",[62.660335540771484],59.78974
132,"[62.660335540771484, 62.660335540771484, 62.660335540771484]",[62.660335540771484],59.78974
133,"[62.660335540771484, 62.660335540771484, 62.660335540771484]",[64.0],59.78974
134,"[62.660335540771484, 62.660335540771484, 64.0]",[64.27799987792969],60.455177
135,"[62.660335540771484, 64.0, 64.27799987792969]",[64.27799987792969],60.882572
136,"[64.0, 64.27799987792969, 64.27799987792969]",[64.27799987792969],60.894157
137,"[64.27799987792969, 64.27799987792969, 64.27799987792969]",[64.27799987792969],60.8524
138,"[64.27799987792969, 64.27799987792969, 64.27799987792969]",[64.27799987792969],60.8524
139,"[64.27799987792969, 64.27799987792969, 64.27799987792969]",[68.0],60.8524
140,"[64.27799987792969, 64.27799987792969, 68.0]",[67.1878662109375],62.49912
141,"[64.27799987792969, 68.0, 67.1878662109375]",[67.1878662109375],63.45995
142,"[68.0, 67.1878662109375, 67.1878662109375]",[67.1878662109375],62.702618
143,"[67.1878662109375, 67.1878662109375, 67.1878662109375]",[67.1878662109375],62.85278
144,"[67.1878662109375, 67.1878662109375, 67.1878662109375]",[67.1878662109375],62.85278
145,"[67.1878662109375, 67.1878662109375, 67.1878662109375]",[67.0],62.85278
146,"[67.1878662109375, 67.1878662109375, 67.0]",[67.1878662109375],62.763218
147,"[67.1878662109375, 67.0, 67.1878662109375]",[67.1878662109375],62.787575
148,"[67.0, 67.1878662109375, 67.1878662109375]",[67.1878662109375],62.882412
149,"[67.1878662109375, 67.1878662109375, 67.1878662109375]",[67.1878662109375],62.85278
150,"[67.1878662109375, 67.1878662109375, 67.1878662109375]",[67.1878662109375],62.85278
151,"[67.1878662109375, 67.1878662109375, 67.1878662109375]",[68.0],62.85278
152,"[67.1878662109375, 67.1878662109375, 68.0]",[67.1878662109375],63.245846
153,"[67.1878662109375, 68.0, 67.1878662109375]",[67.1878662109375],63.1644
154,"[68.0, 67.1878662109375, 67.1878662109375]",[67.1878662109375],62.702618
155,"[67.1878662109375, 67.1878662109375, 67.1878662109375]",[67.1878662109375],62.85278
156,"[67.1878662109375, 67.1878662109375, 67.1878662109375]",[67.1878662109375],62.85278
157,"[67.1878662109375, 67.1878662109375, 67.1878662109375]",[67.1878662109375],62.85278
